Category,Piece,Synonyms / Related,Typical Dimensions,H × W × D (example),Description
Kitchen & Dining,Step-back cupboard,Pantry cupboard*,42–54″W × 20″D × 78–84″H,81 × 48 × 20″,Two-part piece where upper section steps back from lower. Drawers and doors below; doors or open shelves above.
Kitchen & Dining,Apothecary cabinet,Apothecary chest*,24–48″W × 14″D × 36–60″H,48 × 36 × 14″,Originally a druggist's piece with many small labeled drawers. Used decoratively today for hardware/spices/crafts.
Kitchen & Dining,Dry sink,—,36–48″W × 20″D × 32–36″H,34 × 42 × 20″,19th-century American piece with a recessed top for a basin; cabinet doors below and sometimes drawers. Pre-plumbing predecessor to the kitchen sink cabinet.
Entryway & Living Room,Hall console,Entry table*,48–60″W × 14″D × 30–36″H,33 × 54 × 14″,Narrow entryway table with one or two drawers and sometimes cabinet doors below; sits flush against a wall.
Entryway & Living Room,Entry cabinet,Hall console*,30–48″W × 14″D × 30–36″H,33 × 40 × 14″,Storage cabinet for entryways with doors and drawers for keys and mail. May include a bench or hooks.
Entryway & Living Room,Hall tree,—,30–48″W × 16″D × 72–80″H,76 × 38 × 16″,Tall entry piece combining coat hooks, a mirror, and a lower storage bench or cabinet with drawers.
Entryway & Living Room,Entertainment center,"Media center, TV stand*",60–84″W × 18″D × 60–84″H,72 × 72 × 18″,Large wall unit combining open shelving, a TV bay, and cabinet doors with drawers for A/V equipment and media.
Entryway & Living Room,Media console,"TV stand*, Credenza*",48–72″W × 18″D × 24–30″H,27 × 60 × 18″,Low cabinet for TV and A/V equipment with cabinet doors and sometimes drawers. Lower-profile evolution of the entertainment center.
Entryway & Living Room,Cocktail cabinet,"Bar cabinet, Drinks cabinet*",24–36″W × 16″D × 36–48″H,42 × 30 × 16″,Cabinet for storing and serving drinks with fold-down bar surface; interior bottle storage and drawers for accessories.
Entryway & Living Room,Bar cabinet,"Cocktail cabinet*, Tantalus cabinet*",24–48″W × 16″D × 30–48″H,42 × 36 × 16″,Cabinet for storing and serving drinks; ranges from a small lockable piece to a full unit with drawers and wine storage.
Entryway & Living Room,Tantalus cabinet,"Bar cabinet*, Cocktail cabinet*",18–24″W × 14″D × 28–36″H,32 × 20 × 14″,Lockable drinks cabinet; historically allowed decanters to be seen but not accessed. Modern versions are decorative lockable liquor cabinets.
Entryway & Living Room,Corner cabinet,Encoignure*,24–36″W × 24″D × 60–84″H,72 × 30 × 30″,Triangular or angled cabinet for room corners; with doors and sometimes drawers. Can be freestanding or built-in.
Entryway & Living Room,Encoignure,Corner cabinet*,22–30″W × 22″D × 30–36″H,33 × 26 × 26″,French term for a corner cabinet; typically a smaller lower antique piece with a door and shelf.
Entryway & Living Room,Bookcase with cabinet base,Library cabinet*,30–48″W × 14″D × 72–84″H,78 × 36 × 14″,Open bookshelves above; closed cabinet doors with drawers below. Display storage above and concealed storage below.
Bathroom,Bathroom vanity,Vanity cabinet*,24–72″W × 21″D × 32–36″H,34 × 48 × 21″,Bathroom base cabinet supporting a sink; drawers and cabinet doors below for toiletry storage.
Bathroom,Medicine cabinet,—,14–30″W × 4″D × 20–30″H,25 × 24 × 4″,Wall-mounted cabinet with mirrored door and interior shelves; typically recessed into the wall above a sink.
Bathroom,Linen cabinet,Linen tower*,18–24″W × 14″D × 60–84″H,72 × 21 × 14″,Tall narrow freestanding cabinet for bathroom storage with doors and shelves; sometimes a base drawer.
Bathroom,Linen tower,Linen cabinet*,18–24″W × 14″D × 66–84″H,75 × 21 × 14″,Tall freestanding bathroom storage unit; effectively synonymous with linen cabinet. 'Tower' emphasizes the narrow tall profile.
Bathroom,Bathroom armoire,"Linen cabinet*, Armoire*",30–40″W × 16″D × 66–80″H,74 × 36 × 16″,Freestanding armoire-style cabinet adapted for bathroom use with shelves and drawers for towels and toiletries.
Office & Desk,Filing cabinet,File cabinet,15–18″W × 28″D × 28–52″H,52 × 18 × 28″,Office cabinet with deep drawers for letter or legal files; typically in 2- or 4-drawer vertical configurations.
Office & Desk,Lateral file cabinet,Filing cabinet*,30–42″W × 20″D × 28–52″H,52 × 36 × 20″,Filing cabinet with wide shallow drawers holding files side-to-side. More wall-efficient than vertical filing cabinets.
Office & Desk,Pedestal desk,Partners desk*,54–72″W × 30″D × 29–30″H,30 × 60 × 30″,Writing desk supported by two side pedestals each containing drawers and often a cabinet door.
Office & Desk,Partners desk,Pedestal desk*,60–84″W × 48″D × 29–30″H,30 × 72 × 48″,Oversized double-sided pedestal desk for two people facing each other; each side has its own drawers and pedestals.
Office & Desk,Davenport desk,—,20–24″W × 20″D × 33–40″H,37 × 22 × 20″,Small Victorian writing desk with a slant top and a column of drawers on one side. Compact and ornate.
Office & Desk,Campaign desk,—,40–48″W × 22″D × 30″H,30 × 44 × 22″,Portable folding desk with recessed hardware and removable legs for flat packing. Historically used by military officers in the field.
Workshop & Utility,Tool chest,Tool cabinet*,26–42″W × 18″D × 24–44″H,35 × 36 × 18″,Cabinet for tool storage with a combination of deep and shallow drawers and sometimes cabinet doors for larger tools.
Workshop & Utility,Machinist's cabinet,Tool chest*,28–36″W × 20″D × 36–48″H,42 × 32 × 20″,Precision cabinet with many small shallow drawers for organizing machining tools and measuring instruments.
Workshop & Utility,Plan chest,Flat file cabinet,36–50″W × 26″D × 15–40″H,30 × 44 × 26″,Wide very-shallow-drawer cabinet for storing flat plans, drawings, maps, and large-format documents.
Workshop & Utility,Taboret,—,16–24″W × 16″D × 28–36″H,32 × 18 × 18″,Small artist's or craftsman's cabinet with drawers and sometimes a door; used beside a workbench or easel.
Antique & Regional,Press cupboard,Court cupboard*,48–60″W × 20″D × 56–72″H,64 × 54 × 20″,English Renaissance storage cupboard in two stages; lower enclosed section has doors and drawers; upper is open or semi-open.
Antique & Regional,Court cupboard,Press cupboard*,42–54″W × 18″D × 42–54″H,48 × 48 × 18″,Lower open-tiered English Renaissance display piece with drawers in the frieze. Distinguished from press cupboard by its shorter and more open form.
Antique & Regional,Trumeau,—,18–30″W × 6″D × 60–80″H,72 × 24 × 6″,French mirror cabinet combining a mirror above with a small cabinet or drawers below. Historically placed between windows.
Antique & Regional,Tansu,—,36–54″W × 16″D × 36–72″H,54 × 42 × 16″,Japanese stepped or tiered storage chest traditionally in stacked sections. Combines small doors, drawers, and open shelves in asymmetric arrangements.
Antique & Regional,Bandaji,—,36–48″W × 20″D × 18–24″H,20 × 42 × 20″,Korean chest that opens at the top half of the front face while the lower half is fixed. Used for blankets and clothing; may have small base drawers.
